TableName,SeriesCode,LineNumber,LineDescription,TimePeriod,METRIC_NAME,CL_UNIT,UNIT_MULT,DataValue,NoteRef
T10101,A191RL,1,Gross domestic product,1970Q4,Fisher Quantity Index,"Percent change, annual rate",0,-4.2,T10101
T10101,A191RL,1,Gross domestic product,1971Q1,Fisher Quantity Index,"Percent change, annual rate",0,11.3,T10101
T10101,A191RL,1,Gross domestic product,1971Q2,Fisher Quantity Index,"Percent change, annual rate",0,2.2,T10101
T10101,A191RL,1,Gross domestic product,1971Q3,Fisher Quantity Index,"Percent change, annual rate",0,3.3,T10101
T10101,A191RL,1,Gross domestic product,1971Q4,Fisher Quantity Index,"Percent change, annual rate",0,0.9,T10101
T10101,A191RL,1,Gross domestic product,1972Q1,Fisher Quantity Index,"Percent change, annual rate",0,7.6,T10101
T10101,A191RL,1,Gross domestic product,1972Q2,Fisher Quantity Index,"Percent change, annual rate",0,9.4,T10101
T10101,A191RL,1,Gross domestic product,1972Q3,Fisher Quantity Index,"Percent change, annual rate",0,3.8,T10101
T10101,A191RL,1,Gross domestic product,1972Q4,Fisher Quantity Index,"Percent change, annual rate",0,6.9,T10101
T10101,A191RL,1,Gross domestic product,1973Q1,Fisher Quantity Index,"Percent change, annual rate",0,10.3,T10101
T10101,A191RL,1,Gross domestic product,1973Q2,Fisher Quantity Index,"Percent change, annual rate",0,4.4,T10101
T10101,A191RL,1,Gross domestic product,1973Q3,Fisher Quantity Index,"Percent change, annual rate",0,-2.1,T10101
T10101,A191RL,1,Gross domestic product,1973Q4,Fisher Quantity Index,"Percent change, annual rate",0,3.9,T10101
T10101,A191RL,1,Gross domestic product,1974Q1,Fisher Quantity Index,"Percent change, annual rate",0,-3.4,T10101
T10101,A191RL,1,Gross domestic product,1974Q2,Fisher Quantity Index,"Percent change, annual rate",0,1.0,T10101
T10101,A191RL,1,Gross domestic product,1974Q3,Fisher Quantity Index,"Percent change, annual rate",0,-3.7,T10101
T10101,A191RL,1,Gross domestic product,1974Q4,Fisher Quantity Index,"Percent change, annual rate",0,-1.5,T10101
T10101,A191RL,1,Gross domestic product,1975Q1,Fisher Quantity Index,"Percent change, annual rate",0,-4.8,T10101
T10101,A191RL,1,Gross domestic product,1975Q2,Fisher Quantity Index,"Percent change, annual rate",0,2.9,T10101
T10101,A191RL,1,Gross domestic product,1975Q3,Fisher Quantity Index,"Percent change, annual rate",0,7.0,T10101
T10101,A191RL,1,Gross domestic product,1975Q4,Fisher Quantity Index,"Percent change, annual rate",0,5.5,T10101
T10101,A191RL,1,Gross domestic product,1976Q1,Fisher Quantity Index,"Percent change, annual rate",0,9.3,T10101
T10101,A191RL,1,Gross domestic product,1976Q2,Fisher Quantity Index,"Percent change, annual rate",0,3.0,T10101
T10101,A191RL,1,Gross domestic product,1976Q3,Fisher Quantity Index,"Percent change, annual rate",0,2.2,T10101
T10101,A191RL,1,Gross domestic product,1976Q4,Fisher Quantity Index,"Percent change, annual rate",0,2.9,T10101
T10101,A191RL,1,Gross domestic product,1977Q1,Fisher Quantity Index,"Percent change, annual rate",0,4.8,T10101
T10101,A191RL,1,Gross domestic product,1977Q2,Fisher Quantity Index,"Percent change, annual rate",0,8.0,T10101
T10101,A191RL,1,Gross domestic product,1977Q3,Fisher Quantity Index,"Percent change, annual rate",0,7.4,T10101
T10101,A191RL,1,Gross domestic product,1977Q4,Fisher Quantity Index,"Percent change, annual rate",0,0.0,T10101
T10101,A191RL,1,Gross domestic product,1978Q1,Fisher Quantity Index,"Percent change, annual rate",0,1.3,T10101
