"symbol","name","stockPrice","peRatio","marketCapitalization","divYield","revenueGrowth3yr","incomeGrowth3yr"
"CGX.DB.B","Cineplex Inc. 5.75% Convertible Unsecured Subordinated Debentures",128,,8057355520,,11.84,
"KNT","K92 Mining Inc.",32.88,22.12,8002107594,,44.08,-3.18
"TXG","Torex Gold Resources Inc.",83.11,11.16,7929959682,0.7219347852244014,14.55,97.79
"DSG","Descartes Systems Group Inc. (The)",90.22,37.49,7757731171,,13.11,42.36
"NG","NovaGold Resources Inc.",18.2,,7407300464,,-100,
"DOO","BRP Inc. Subordinate Voting Shares",100.01,,7336168243,0.8599140085991401,4.7,46.28
"AQN","Algonquin Power & Utilities Corp.",9.54,,7329067298,3.7734475890985326,-5.46,
"ACO.X","ATCO Ltd. Class I Non-voting Shares",64.86,16.84,7290624168,3.204440333024977,1.63,-8.07
"PSK","PrairieSky Royalty Ltd.",31.14,44.04,7246278000,3.4039820166987798,-0.99,68.62
"WGX","Westgold Resources Limited",7.57,,7151785229,,,
"WFG","West Fraser Timber Co. Ltd.",90.56,,7090831880,1.9189328621908128,-17.43,
"CSH.UN","Chartwell Retirement Residences Units",22.22,101.05,7073234273,2.8082808280828084,2.28,
"HOT.DB.V","American Hotel Income Properties REIT LP 6.00% Convertible Unsecured Subordinated Debentures",94,,7039152400,,-10.44,
"EFR","Energy Fuels Inc.",29.13,,7037982780,,77.85,
"PRV.DB","PRO Real Estate Investment Trust 8.00% convertible unsecured subordinated debentures",104.89,22.84,7036705293,,2.62,
"ONEX","ONEX Corporation Subordinate Voting Shares",101.43,12.25,6964078313,0.39436064280784777,,
"BYD","Boyd Group Services Inc.",238.09,234.31,6625573520,0.2620857658868495,10.29,-12.77
"MRT.DB.A","Morguard Real Estate Investment Trust 5.25% convertible unsecured subordinated debentures",100.7,,6563424600,,-0.44,86.41
"NGEX","NGEx Minerals Ltd.",31.52,,6542637510,,,
"SCR","Strathcona Resources Ltd.",29.8,5.66,6384221118,4.026845637583893,92.29,
"U.UN","Sprott Physical Uranium Trust Trust Units",27.52,2.53,6352617728,,,
"SKE","Skeena Resources Limited",51.99,,6295642487,,,
"ARIS","Aris Mining Corporation",30.9,115.25,6263430000,,-25.43,
"MAU","Montage Gold Corp.",17,,6146633696,,,
"PPTA","Perpetua Resources Corp.",50.28,,6127758451,,,
"EIF","Exchange Income Corporation",108.68,37.07,6100197315,2.5395656974604344,16.75,15.7
"AC","Air Canada Voting and Variable Voting Shares",20.63,,6076558661,,24.04,
"ELF","E-L Financial Corporation Limited",17.32,0.16,5996149360,0.9237875288683602,,
"CAR.UN","Canadian Apartment Properties Real Estate Investment Trust Trust Units",37.74,29.83,5807598879,4.106836248012718,0.63,-71.84
"REI.UN","RioCan Real Estate Investment Trust Trust Units",19.73,86.13,5794701000,5.869234668018247,18.26,
"CG","Centerra Gold Inc.",28.67,11.71,5783630121,0.9766306243460062,19.03,
"PDN","Paladin Energy Ltd.",12.86,,5778363494,,,
"NPI","Northland Power Inc.",21.86,,5716434682,3.293687099725526,-2.18,10.4
"SII","Sprott Inc.",221.22,22.25,5707476000,0.9910604827773257,35.72,23.67
"FVI","Fortuna Mining Corp.",18.64,15.48,5690046139,,11.59,
"AII","Almonty Industries Inc.",25.17,,5658508173,,7.64,
"LNR","Linamar Corporation",94.01,22.76,5622689873,1.2339112860334007,10.94,8.78
"EDR","Endeavour Silver Corp.",18.98,,5583488931,,23.69,
"SEA","Seabridge Gold Inc.",53.75,,5581520131,,,
"TA","TransAlta Corporation",18.75,,5578125000,1.3866666666666667,-7.98,
"GRT.UN","Granite Real Estate Investment Trust Units",91.97,43.47,5573439297,3.8595194085027726,23.31,-18.56
"AAUC","Allied Gold Corporation",43.18,,5354320000,,,
"MX","Methanex Corporation",68.82,16.67,5322505766,1.4598333333333333,-6.49,
"MRG.DB.B","Morguard North American Residential Real Estate Investment Trust 6.00% Convertible Unsecured Subordinated Debentures",102.01,,5320500071,,38.79,
"PEY","Peyto Exploration & Development Corp.",26.43,14,5316683803,4.994324631101022,-3.82,
"SJ","Stella-Jones Inc.",93.61,15.51,5111648189,1.4528362354449311,5.87,17.9
"DML","Denison Mines Corp.",5.68,,5096610273,,-34.49,
"GEI","Gibson Energy Inc.",29.31,22.79,5041320000,6.141248720573183,-1.06,10.38
"MDA","MDA Space Ltd.",39.55,44.52,4995160135,,37.42,
"SRU.UN","SmartCentres Real Estate Investment Trust Variable Voting Units",27.77,19.99,4952112381,6.662009362621534,15.08,47.56
"TVE","Tamarack Valley Energy Ltd.",10.19,,4934731680,1.5701668302257115,10.07,
"ERO","Ero Copper Corp.",46.66,23.8,4847519252,,8.88,87.54
"PBH.DB.J","Premium Brands Holdings Corporation 5.50% Convertible Unsecured Subordinated Debentures",108,72.19,4824299520,,7.94,
"AD.DB.B","Alaris Equity Partners Income Trust 6.50% Convertible Unsecured Senior Debentures",106.06,5.99,4808634295,,-3.84,
"TPZ","Topaz Energy Corp",31.16,73.68,4798640000,4.364569961489089,-0.64,266.7
"AI.DB.F","Atrium Mortgage Investment Corporation 5.00% convertible unsecured subordinated debentures",100.75,11.52,4792154910,,3.08,
"AI.DB.G","Atrium Mortgage Investment Corporation 5.10% convertible unsecured subordinated debentures due March 31, 2029",100.55,11.52,4782641947,,3.08,
"PBH","Premium Brands Holdings Corporation",106.01,72.19,4735407334,3.2072445995660788,7.94,17.35
